JAPONICA NIPPONBARE POSITIONS	ASSAY ID	ACCESSION	SUBPOPULATION
SURMATIYA::IRGC 74779-1::[IRIS 313-8303]	IRIS 313-8303	IRGC 126008	ind2
ARC 13252::IRGC 22604-1::[IRIS 313-8382]	IRIS 313-8382		admix
FEI GAI 122::IRGC 63599-1::[IRIS 313-8412]	IRIS 313-8412	IRGC 125609	indx
498-2A BR 8::IRGC 5891-1::[IRIS 313-8450]	IRIS 313-8450	IRGC 126041	ind2
ARC 18597::IRGC 43299-1::[IRIS 313-8453]	IRIS 313-8453	IRGC 126043	indx
NAM SA GUI 19::[IRIS 313-8485]	IRIS 313-8485	IRGC 117536	ind3
DUDRE::IRGC 52523-1::[IRIS 313-8631]	IRIS 313-8631	IRGC 125608	ind2
PERUNEL::IRGC 63113-1::[IRIS 313-8647]	IRIS 313-8647	IRGC 125621	ind2
HAWM KRUA::IRGC 64333-1::[IRIS 313-8674]	IRIS 313-8674	IRGC 125965	ind3
YEBAWYIN::IRGC 33885-1::[IRIS 313-8697]	IRIS 313-8697	IRGC 125628	ind3
BAZAIL::IRGC 27526-1::[IRIS 313-8717]	IRIS 313-8717	IRGC 126184	indx
NIRGUNI::IRGC 61127-1::[IRIS 313-8757]	IRIS 313-8757	IRGC 126000	ind2
STRAW 23-400::IRGC 38390-1::[IRIS 313-8822]	IRIS 313-8822		aus
ARC 14654::IRGC 41663-1::[IRIS 313-8900]	IRIS 313-8900	IRGC 125650	ind2
ARC 11524::IRGC 42672-1::[IRIS 313-8946]	IRIS 313-8946	IRGC 125641	indx
E DAW HAWM::IRGC 47938-1::[IRIS 313-8980]	IRIS 313-8980	IRGC 126132	ind3
LONG KHI KRAI::IRGC 64490-1::[IRIS 313-9006]	IRIS 313-9006	IRGC 126985	ind3
BHOJON KOLPO::IRGC 31727-1::[IRIS 313-9067]	IRIS 313-9067	IRGC 125681	ind2
LEUANG GLIANG::IRGC 71271-1::[IRIS 313-9123]	IRIS 313-9123	IRGC 125823	subtrop
BADAL 1163::IRGC 32796-1::[IRIS 313-9148]	IRIS 313-9148	IRGC 125664	ind2
LEUANG LAI MAE PRAJAN::IRGC 71279-1::[IRIS 313-9209]	IRIS 313-9209	IRGC 126984	ind3
MAKRO::IRGC 74763-1::[IRIS 313-9258]	IRIS 313-9258	IRGC 126158	ind2
PURA BINNI::IRGC 26772-1::[IRIS 313-9271]	IRIS 313-9271	IRGC 125878	ind2
KHAO KAI::IRGC 78251-1::[IRIS 313-9281]	IRIS 313-9281	IRGC 125801	ind3
PALEPYU::IRGC 33549-1::[IRIS 313-9285]	IRIS 313-9285	IRGC 125866	indx
BADUIE::IRGC 53715-1::[IRIS 313-9403]	IRIS 313-9403	IRGC 125666	ind2
DUD KUNING::IRGC 44-1::[IRIS 313-9533]	IRIS 313-9533	IRGC 125729	ind3
MULLIKURUVA::IRGC 77529-1::[IRIS 313-9557]	IRIS 313-9557	IRGC 125845	ind2
HOLDI GIRA::IRGC 31801-1::[IRIS 313-9617]	IRIS 313-9617	IRGC 126979	ind2
KAMPAI PEUN MEUANG::IRGC 78248-1::[IRIS 313-9669]	IRIS 313-9669		ind3
MAKALIOKA::IRGC 376-1::[IRIS 313-9709]	IRIS 313-9709	IRGC 125832	ind2
NAN TE HAO::IRGC 59797-1::[IRIS 313-9727]	IRIS 313-9727	IRGC 125849	ind1A
