JAPONICA NIPPONBARE POSITIONS	ASSAY ID	ACCESSION	SUBPOPULATION
BHAVANI::[CX61]	CX61	IRGC 135844	ind1A
BINAM::[CX67]	CX67	IRGC 135845	aro
MR106::[CX68]	CX68	IRGC 135989	indx
IR6::[CX73]	CX73	IRGC 135927	ind1B
AT354::[CX75]	CX75	IRGC 135832	indx
OM1706::[CX80]	CX80	IRGC 136014	ind1B
X21::[CX82]	CX82	IRGC 136073	ind1B
X23::[CX84]	CX84	IRGC 136075	indx
HUANYANGNIAN::[CX88]	CX88		ind1A
GOVIND::[CX91]	CX91	IRGC 135897	ind1B
TGMS29::[CX93]	CX93	IRGC 136054	indx
B231::[B231]	B231		indx
CX419::[CX419]	CX419		ind1B
CX422::[CX422]	CX422		ind1B
WANICA::IRGC 3394-1::[IRIS 313-9519]	IRIS 313-9519	IRGC 125936	trop
UPR 1201-1-20-1::IRGC 117357-1::[IRIS 313-10417]	IRIS 313-10417	IRGC 126012	ind1B
SONAPATNAI::IRGC 46695-1::[IRIS 313-9120]	IRIS 313-9120	IRGC 125905	admix
SINNA SITHIRA KALI::IRGC 51064-1::[IRIS 313-9091]	IRIS 313-9091	IRGC 124442	indx
DIAMBARANG::IRGC 56726-1::[IRIS 313-11525]	IRIS 313-11525	IRGC 127319	ind3
CA ONG (WHITE)::IRGC 47174-1::[IRIS 313-11380]	IRIS 313-11380	IRGC 128253	trop
FUNINGZIPIGENGZI::[B067]	B067		ind1A
QINGSIAI 16B::[B153]	B153		indx
RP 1570-44-1::[B187]	B187	IRGC 136035	indx
PMS 10B::[B195]	B195	IRGC 136021	indx
BABAOMI::[CX51]	CX51	IRGC 135835	indx
LEMONT::[CX77]	CX77	IRGC 117802	trop
SANHUANGZHAN NO 2::G1::[IRIS 313-15897]	IRIS 313-15897	IRGC 126968	indx
IAC 165::IRGC 82775-2::[IRIS 313-15903]	IRIS 313-15903		indx
NIAO YAO::IRGC 5496-1::[IRIS 313-8743]	IRIS 313-8743	IRGC 126075	indx
MAE YEU::IRGC 64509-1::[IRIS 313-9575]	IRIS 313-9575	IRGC 131916	ind3
BR 5230-46-4::IRGC 117318-1::[IRIS 313-10341]	IRIS 313-10341	IRGC 121167	indx
CSR-89 IR-15::IRGC 117326-1::[IRIS 313-10348]	IRIS 313-10348	IRGC 125959	indx
PAH WEAN::IRGC 78276-1::[IRIS 313-8474]	IRIS 313-8474	IRGC 126258	ind3
DAA MANSA::IRGC 67559-1::[IRIS 313-8514]	IRIS 313-8514	IRGC 126196	ind1B
CHAKOL::IRGC 77226-1::[IRIS 313-8854]	IRIS 313-8854	IRGC 125696	ind2
RANGOON SAMBA::IRGC 11940-1::[IRIS 313-9832]	IRIS 313-9832	IRGC 125883	ind2
IRGA 370-42-1-1F-C-1::IRGC 117343-1::[IRIS 313-10401]	IRIS 313-10401	IRGC 125989	ind1B
TIE ZHONG::IRGC 72321-1::[IRIS 313-11872]	IRIS 313-11872	IRGC 127858	ind1A
KARIA::IRGC 6702-1::[IRIS 313-10545]	IRIS 313-10545	IRGC 127492	aus
HAJI HARUN 38::IRGC 13827-2::[IRIS 313-10694]	IRIS 313-10694	IRGC 128047	ind3
JAIBATTEY::[B030]	B030	IRGC 135950	indx
IRAT 10::[B039]	B039	IRGC 135940	indx
ERJIUNAN 1::[B058]	B058		ind1B
QIUQIANBAI::[B072]	B072		ind1A
BIWUSHENG::[B203]	B203		indx
2004::[CX249]	CX249	IRGC 135814	ind1B
MR185::[CX30]	CX30	IRGC 135991	ind1B
TOG7291::[CX401]	CX401		indx
AI ZI DAO::[CX50]	CX50		ind1B
Q5::[CX87]	CX87	IRGC 136027	indx
571::IRGC 48493-1::[IRIS 313-8872]	IRIS 313-8872	IRGC 125630	japx
CHIPDA::[CX130]	CX130	IRGC 135864	ind2
KOIYA DIGHA::IRGC 63517-1::[IRIS 313-9445]	IRIS 313-9445	IRGC 125806	admix
E ZI 96::IRGC 70188-1::[IRIS 313-8859]	IRIS 313-8859	IRGC 125738	ind1A
REXARK ROGUE::IRGC 1972-1::[IRIS 313-8323]	IRIS 313-8323		trop
SUKARADJA::IRGC 18936-1::[IRIS 313-9242]	IRIS 313-9242		admix
KHAO KUM PAR::IRGC 57966-1::[IRIS 313-11542]	IRIS 313-11542	IRGC 132402	admix
TINAROH::IRGC 73874-1::[IRIS 313-11907]	IRIS 313-11907	IRGC 128486	trop
KALAMON 113::IRGC 6534-1::[IRIS 313-10537]	IRIS 313-10537		admix
KETAN NANGKA::IRGC 19961-2::[IRIS 313-10841]	IRIS 313-10841	IRGC 128077	trop
SITABO TABO::IRGC 25798-1::[IRIS 313-10959]	IRIS 313-10959	IRGC 128473	trop
DHALA AMAN 973::IRGC 32861-1::[IRIS 313-11125]	IRIS 313-11125		admix
LAL AMAN 207::IRGC 37754-1::[IRIS 313-11217]	IRIS 313-11217		aro
ARC 13919::IRGC 41313-2::[IRIS 313-11263]	IRIS 313-11263	IRGC 127953	indx
ARC 6579::IRGC 42510-1::[IRIS 313-11290]	IRIS 313-11290	IRGC 127165	admix
PODAO::IRGC 44701-1::[IRIS 313-11342]	IRIS 313-11342		indx
JALADHI 1::IRGC 45858-2::[IRIS 313-11360]	IRIS 313-11360	IRGC 132342	aro
KAUSHI::IRGC 49789-1::[IRIS 313-11415]	IRIS 313-11415		admix
ZIRI::[CX108]	CX108		admix
FENGAIZHAN::[CX9]	CX9		ind1B
KWATIK PUTIH::IRGC 18053-1::[IRIS 313-10787]	IRIS 313-10787		ind3
ARC 11802::IRGC 21662-2::[IRIS 313-10872]	IRIS 313-10872	IRGC 132421	japx
PARE MAROMBA::IRGC 25074-2::[IRIS 313-10948]	IRIS 313-10948	IRGC 132363	admix
HP121::[CX307]	CX307		japx
93072::[CX4]	CX4		indx
MALOGBANA::IRGC 16086-1::[IRIS 313-10729]	IRIS 313-10729	IRGC 128379	admix
HYB 5-2-1-1-4::IRGC 34283-2::[IRIS 313-11159]	IRIS 313-11159	IRGC 132251	trop
IR71466-75-3-B-1::[CX124]	CX124	IRGC 135936	indx
TOG5674::[CX400]	CX400		admix
TOG6542::[CX402]	CX402		admix
DARAWAL::IRGC 71514-1::[IRIS 313-9101]	IRIS 313-9101	IRGC 125724	admix
YANGKUM (RED)::[IRIS 313-9404]	IRIS 313-9404	IRGC 117593	admix
ARC 11626::IRGC 21528-1::[IRIS 313-9392]	IRIS 313-9392	IRGC 125642	admix
PULUT CENRANA::IRGC 27400-2::[IRIS 313-11008]	IRIS 313-11008	IRGC 128142	trop
TELURIKAN::IRGC 27478-1::[IRIS 313-11012]	IRIS 313-11012	IRGC 132046	admix
BRANCO PRECOCE::IRGC 50441-2::[IRIS 313-11425]	IRIS 313-11425	IRGC 128003	admix
GUMEI 2::[CX11]	CX11		japx
MARAVILHA::[CX280]	CX280	IRGC 135981	admix
GOGO::IRGC 16418-1::[IRIS 313-10739]	IRIS 313-10739	IRGC 135567	indx
TAIZHONG 65/TAIZHONGHR539::[B158]	B158		admix
NERICA 1::[CX371]	CX371	IRGC 136000	trop
ZHENFU 8::[B047]	B047	IRGC 136092	temp
WIR 1072::IRGC 57496-1::[IRIS 313-8890]	IRIS 313-8890	IRGC 121541	temp
RAZZA 77::IRGC 3130-1::[IRIS 313-9770]	IRIS 313-9770		temp
KOPANCSI KEREK::IRGC 9305-1::[IRIS 313-9811]	IRIS 313-9811	IRGC 125808	temp
TSIVIMBININA::IRGC 69890-1::[IRIS 313-10051]	IRIS 313-10051	IRGC 127067	trop
JO SANG DAE YA::IRGC 90852-1::[IRIS 313-9698]	IRIS 313-9698	IRGC 125788	temp
TEPUKE::IRGC 12872-1::[IRIS 313-9838]	IRIS 313-9838	IRGC 125919	temp
YONG AN HUK::IRGC 19891-1::[IRIS 313-9891]	IRIS 313-9891	IRGC 125945	temp
WIR 884::IRGC 51591-1::[IRIS 313-9961]	IRIS 313-9961	IRGC 125939	temp
WIR 1951::IRGC 51643-1::[IRIS 313-9964]	IRIS 313-9964	IRGC 125938	temp
MAEKJO::IRGC 77666-1::[IRIS 313-10097]	IRIS 313-10097	IRGC 125830	temp
GRITNA::GERVEX 71-C1::[IRIS 313-8029]	IRIS 313-8029	IRGC 122073	japx
ESCARLATE::GERVEX 887-C1::[IRIS 313-8113]	IRIS 313-8113	IRGC 122043	temp
CAMPINO::GERVEX 824-C1::[IRIS 313-8109]	IRIS 313-8109	IRGC 121996	temp
LOTO::GERVEX 104-C1::[IRIS 313-8039]	IRIS 313-8039	IRGC 122151	temp
CARRICO::GERVEX 828-C1::[IRIS 313-8111]	IRIS 313-8111	IRGC 122001	temp
SAFARI::GERVEX 1256-C1::[IRIS 313-8136]	IRIS 313-8136	IRGC 121819	temp
OPALE::GERVEX 1667-C1::[IRIS 313-8200]	IRIS 313-8200	IRGC 122183	temp
RODINA::GERVEX 1234-C1::[IRIS 313-8129]	IRIS 313-8129	IRGC 122219	temp
FLIPPER::GERVEX 597-C1::[IRIS 313-8099]	IRIS 313-8099	IRGC 122049	temp
SAEDINENIE::GERVEX 1255-C1::[IRIS 313-8135]	IRIS 313-8135	IRGC 121818	temp
CHIPKA::GERVEX 837-C1::[IRIS 313-8112]	IRIS 313-8112	IRGC 122007	temp
PLOVDIV 22::GERVEX 1167-C1::[IRIS 313-8125]	IRIS 313-8125	IRGC 122203	temp
CIGALON::GERVEX 1514-C1::[IRIS 313-8165]	IRIS 313-8165	IRGC 122013	temp
PADI HEDENG (REKET HEDENG)::IRGC 54266-1::[IRIS 313-11498]	IRIS 313-11498	IRGC 132023	trop
T 757::GERVEX 1316-C1::[IRIS 313-8147]	IRIS 313-8147	IRGC 122259	temp
WIR 2091::IRGC 57536-1::[IRIS 313-11536]	IRIS 313-11536	IRGC 128502	temp
CN 1067::IRGC 65680-1::[IRIS 313-11702]	IRIS 313-11702	IRGC 127285	temp
VONBOANGY::IRGC 69947-1::[IRIS 313-11792]	IRIS 313-11792	IRGC 128498	trop
GYEONGSAN 1::IRGC 79404-1::[IRIS 313-12003]	IRIS 313-12003	IRGC 128305	temp
WEONJU 8::IRGC 90845-1::[IRIS 313-12217]	IRIS 313-12217	IRGC 128501	temp
BICCO BRANCO::IRGC 9478-1::[IRIS 313-10619]	IRIS 313-10619	IRGC 127225	trop
LOLAWAJI::IRGC 18131-1::[IRIS 313-10790]	IRIS 313-10790		trop
PAE ONGGA::IRGC 18418-1::[IRIS 313-10799]	IRIS 313-10799	IRGC 127704	trop
SSAL BYEO::IRGC 19867-2::[IRIS 313-10838]	IRIS 313-10838	IRGC 132370	temp
YE ZO::IRGC 19888-1::[IRIS 313-10840]	IRIS 313-10840	IRGC 128507	temp
PAE MEETO::IRGC 27254-1::[IRIS 313-11003]	IRIS 313-11003	IRGC 127918	trop
WANSHI::[B005]	B005	IRGC 136067	temp
NANOAY P.A::[B037]	B037	IRGC 135999	trop
GAOYANGDIANDAO DAHONGMANG::[B068]	B068		temp
GENG 87-304::[B124]	B124		temp
SHUIYUAN 300LI::[B160]	B160		temp
ZHUYUAN::[B168]	B168	IRGC 136096	temp
KELUODUO B::[B179]	B179	IRGC 135966	temp
HEIMANGDAO::[B226]	B226		temp
DACCA6::[CX109]	CX109	IRGC 135876	japx
GIZA14::[CX111]	CX111	IRGC 135894	trop
AP423::[CX132]	CX132	IRGC 135830	trop
AMARELES::[CX139]	CX139	IRGC 135826	japx
IR47686-6-2-1-1::[CX243]	CX243	IRGC 135922	trop
LIJIANGXINTUANHEIGU::[CX282]	CX282		japx
CAU2::[CX354]	CX354	IRGC 135861	japx
HAOGELAO::[CX367]	CX367		trop
SAGRES::GERVEX 1258-C1::[IRIS 313-8137]	IRIS 313-8137	IRGC 121820	japx
CT 45::IRGC 34027-2::[IRIS 313-11153]	IRIS 313-11153	IRGC 128517	temp
OVAL RED 29 B 601::IRGC 38130-2::[IRIS 313-11223]	IRIS 313-11223	IRGC 128122	aro
ARC 12757::IRGC 41095-2::[IRIS 313-11257]	IRIS 313-11257	IRGC 127944	indx
ARC 14663::IRGC 41671-2::[IRIS 313-11270]	IRIS 313-11270	IRGC 127959	aro
BUCHI::IRGC 45237-2::[IRIS 313-11352]	IRIS 313-11352	IRGC 128004	aro
ALBANIA RICE::[B034]	B034	IRGC 135825	temp
YANGKENUO::[B101]	B101		temp
ZAOSHUNONGHU 6::[B152]	B152		temp
YELICANGHUA::[B161]	B161		temp
ANNONGWANGENG B::[B250]	B250		temp
HAN 502::[CX284]	CX284		japx
COMPACT PLANT TYPE MATERIAL::[CX365]	CX365		admix
JINBUBYEO::G1::[IRIS 313-15904]	IRIS 313-15904	IRGC 126967	temp
WAB 56-125::IRTP 19771-G1::[IRIS 313-15905]	IRIS 313-15905	IRGC 126969	trop
ARC 13829::[IRIS 313-8712]	IRIS 313-8712	IRGC 117426	aro
68-2::IRGC 14546-1::[IRIS 313-8399]	IRIS 313-8399	IRGC 126113	temp
SHINCHIKU IKU 103::IRGC 10430-1::[IRIS 313-9346]	IRIS 313-9346	IRGC 121501	temp
AMARELO::IRGC 9389-1::[IRIS 313-9814]	IRIS 313-9814	IRGC 121249	temp
NABESHI::[IRIS 313-8927]	IRIS 313-8927	IRGC 117535	subtrop
COLOMBIA 1::IRGC 116970-1::[IRIS 313-10272]	IRIS 313-10272	IRGC 125714	japx
KOSAGI::IRGC 57692-1::[IRIS 313-8769]	IRIS 313-8769	IRGC 126225	trop
ARC 11430 B::IRGC 14567-1::[IRIS 313-8999]	IRIS 313-8999	IRGC 125640	subtrop
GEANT W 7::IRGC 9620-1::[IRIS 313-9817]	IRIS 313-9817	IRGC 121342	ind2
IR 62266-42-6-2::[IRIS 313-8232]	IRIS 313-8232	IRGC 117597	trop
7507-137::IRGC 40081-1::[IRIS 313-9438]	IRIS 313-9438	IRGC 121242	temp
AI DA ZHONG::IRGC 59348-1::[IRIS 313-9724]	IRIS 313-9724	IRGC 121246	temp
OEIRAS::IRGC 286-1::[IRIS 313-9759]	IRIS 313-9759	IRGC 125860	temp
PI 282203::IRGC 16292-1::[IRIS 313-9880]	IRIS 313-9880	IRGC 121471	temp
KHAU TRA BONG::IRGC 78342-1::[IRIS 313-8578]	IRIS 313-8578	IRGC 125992	subtrop
MINATANDA::IRGC 74613-1::[IRIS 313-8594]	IRIS 313-8594		trop
LOMPUG::IRGC 71559-1::[IRIS 313-8883]	IRIS 313-8883		japx
CHIRGUA 1 I 22::IRGC 3408-1::[IRIS 313-9267]	IRIS 313-9267	IRGC 125703	trop
SD 120 SELN (CI 12320)::IRGC 1667-1::[IRIS 313-8745]	IRIS 313-8745	IRGC 126087	trop
CHIANAN 8::IRGC 90-1::[IRIS 313-9703]	IRIS 313-9703	IRGC 125701	temp
OS 4::[IRIS 313-8523]	IRIS 313-8523	IRGC 117543	trop
KETAN DONGGO::IRGC 54201-1::[IRIS 313-9301]	IRIS 313-9301	IRGC 126068	trop
NEP NGAU::IRGC 78369-1::[IRIS 313-8735]	IRIS 313-8735	IRGC 126074	japx
TSCHINANANGKA::IRGC 64935-1::[IRIS 313-9048]	IRIS 313-9048	IRGC 125930	subtrop
TAKAO MOCHI::IRGC 2564-1::[IRIS 313-9081]	IRIS 313-9081	IRGC 125915	temp
RIMBUN::IRGC 43741-1::[IRIS 313-9239]	IRIS 313-9239	IRGC 126268	trop
ARC 7229::IRGC 12331-1::[IRIS 313-9172]	IRIS 313-9172	IRGC 126177	aro
BEUREUM MEULIT::IRGC 35563-1::[IRIS 313-8314]	IRIS 313-8314	IRGC 126047	trop
PUTTIGE::IRGC 52588-1::[IRIS 313-8921]	IRIS 313-8921	IRGC 125879	temp
ARC 6044::IRGC 12190-1::[IRIS 313-9201]	IRIS 313-9201	IRGC 126146	trop
TIMA::IRGC 67856-1::[IRIS 313-9506]	IRIS 313-9506		admix
B 6144-MR-6-0-0::IRGC 117371-1::[IRIS 313-10336]	IRIS 313-10336		trop
ARC 18202::IRGC 42328-1::[IRIS 313-8414]	IRIS 313-8414	IRGC 126175	indx
KANU DAM::IRGC 29755-1::[IRIS 313-9249]	IRIS 313-9249	IRGC 125794	temp
EX EBOKOZURU::IRGC 79912-1::[IRIS 313-10109]	IRIS 313-10109	IRGC 125735	ind3
KETAN KUNANG KUNENG::IRGC 48730-1::[IRIS 313-8831]	IRIS 313-8831		ind3
DAGPA MRAS::IRGC 62166-1::[IRIS 313-8486]	IRIS 313-8486	IRGC 127043	subtrop
RIKUTO KEMOCHI::[IRIS 313-9523]	IRIS 313-9523	IRGC 117569	japx
NONGLIMNA 1::IRGC 58347-1::[IRIS 313-9995]	IRIS 313-9995	IRGC 125857	trop
M 203::IRGC 76309-1::[IRIS 313-8444]	IRIS 313-8444	IRGC 126118	temp
M 102::IRGC 76307-1::[IRIS 313-8502]	IRIS 313-8502	IRGC 125620	temp
M 7::IRGC 34281-1::[IRIS 313-8665]	IRIS 313-8665	IRGC 127058	temp
NORIN 6::IRGC 2633-1::[IRIS 313-8755]	IRIS 313-8755	IRGC 126120	temp
S 201::IRGC 55230-1::[IRIS 313-8856]	IRIS 313-8856	IRGC 125893	temp
KOTOBUKI MOCHI::[IRIS 313-9002]	IRIS 313-9002	IRGC 117518	temp
EAN 4 C 1::IRGC 26016-1::[IRIS 313-9193]	IRIS 313-9193	IRGC 125732	japx
HOKUSETSU::IRGC 65705-1::[IRIS 313-9228]	IRIS 313-9228	IRGC 125764	temp
CHUNG YI::IRGC 1427-1::[IRIS 313-9233]	IRIS 313-9233	IRGC 125709	temp
HWANGJO::IRGC 55547-1::[IRIS 313-9379]	IRIS 313-9379	IRGC 125768	temp
CI 9498::IRGC 2134-1::[IRIS 313-9410]	IRIS 313-9410	IRGC 125712	temp
CI 1600::IRGC 16305-1::[IRIS 313-9463]	IRIS 313-9463	IRGC 125710	temp
NONG KE::IRGC 59807-1::[IRIS 313-9468]	IRIS 313-9468	IRGC 125856	temp
TAICHUNG 65::IRGC 79-1::[IRIS 313-9701]	IRIS 313-9701	IRGC 125911	temp
TAICHUNG 179::IRGC 85-1::[IRIS 313-9702]	IRIS 313-9702	IRGC 125910	temp
DA DAO TOU::IRGC 59499-1::[IRIS 313-9725]	IRIS 313-9725	IRGC 125718	temp
MURASAHITSUTSURI::IRGC 2493-1::[IRIS 313-9769]	IRIS 313-9769	IRGC 125846	temp
EGYPTIAN::IRGC 3217-1::[IRIS 313-9774]	IRIS 313-9774	IRGC 125629	japx
BENLLOK::IRGC 3404-1::[IRIS 313-9782]	IRIS 313-9782	IRGC 127036	temp
JAPONES BALILLA::IRGC 5785-1::[IRIS 313-9790]	IRIS 313-9790	IRGC 125781	temp
SZANISZLO 2::IRGC 9353-1::[IRIS 313-9813]	IRIS 313-9813	IRGC 125908	temp
O. SATIVA::IRGC 12876-1::[IRIS 313-9839]	IRIS 313-9839	IRGC 125862	temp
FUKUSHIMA MOCHI (GLUT)::IRGC 19296-1::[IRIS 313-9884]	IRIS 313-9884	IRGC 125743	temp
HUK ZO::IRGC 19760-1::[IRIS 313-9886]	IRIS 313-9886	IRGC 125767	temp
JEUK DO::IRGC 19775-1::[IRIS 313-9887]	IRIS 313-9887	IRGC 125784	temp
WA BANG::IRGC 19880-1::[IRIS 313-9890]	IRIS 313-9890	IRGC 125934	temp
ROCCA::IRGC 50351-1::[IRIS 313-9937]	IRIS 313-9937	IRGC 125888	temp
HEUKSANJO::IRGC 55536-1::[IRIS 313-9974]	IRIS 313-9974	IRGC 125761	temp
SUWEON 295::IRGC 58368-1::[IRIS 313-9996]	IRIS 313-9996	IRGC 126990	temp
SANT ANDREA::IRGC 65732-1::[IRIS 313-10014]	IRIS 313-10014	IRGC 125898	temp
HOKURIKU 52::IRGC 72491-1::[IRIS 313-10056]	IRIS 313-10056	IRGC 125763	subtrop
CHUGOKU 68 HEN::IRGC 72514-1::[IRIS 313-10057]	IRIS 313-10057	IRGC 125707	temp
DACHEONGBYEO::IRGC 72533-1::[IRIS 313-10059]	IRIS 313-10059	IRGC 125717	temp
BETIS::IRGC 74581-1::[IRIS 313-10083]	IRIS 313-10083	IRGC 125679	temp
SENIA::IRGC 74582-1::[IRIS 313-10084]	IRIS 313-10084	IRGC 125899	temp
KALIN::IRGC 77312-1::[IRIS 313-10089]	IRIS 313-10089	IRGC 125791	temp
CHALBYEO::IRGC 77639-1::[IRIS 313-10092]	IRIS 313-10092	IRGC 125698	temp
CHEONJUDO::IRGC 77644-1::[IRIS 313-10093]	IRIS 313-10093	IRGC 125700	temp
MOLO::IRGC 81603-1::[IRIS 313-10111]	IRIS 313-10111	IRGC 125843	japx
GITANO::IRGC 82424-1::[IRIS 313-10119]	IRIS 313-10119	IRGC 125752	japx
HAN NUO::IRGC 59591-1::[IRIS 313-10164]	IRIS 313-10164	IRGC 125757	temp
IR 73688-57-2::IRGC 117383-1::[IRIS 313-10379]	IRIS 313-10379	IRGC 125980	temp
DAN YAN NUO::IRGC 4860-1::[IRIS 313-8481]	IRIS 313-8481	IRGC 126198	temp
H 305-84::IRGC 116988-1::[IRIS 313-10242]	IRIS 313-10242	IRGC 127074	temp
BERGREIS::IRGC 3150-1::[IRIS 313-9771]	IRIS 313-9771	IRGC 126185	temp
IR 68333-R-R-B-19::IRGC 117381-1::[IRIS 313-10373]	IRIS 313-10373	IRGC 126027	temp
K 2 C 14::IRGC 68549-1::[IRIS 313-8277]	IRIS 313-8277	IRGC 126067	trop
BOND::IRGC 66755-1::[IRIS 313-8339]	IRIS 313-8339	IRGC 125603	trop
FU LI HONG::IRGC 70250-1::[IRIS 313-8387]	IRIS 313-8387	IRGC 125610	temp
RIKUTO NORIN MOCHI 20::IRGC 410-1::[IRIS 313-8400]	IRIS 313-8400	IRGC 125622	trop
MANDASHERPO::IRGC 64913-1::[IRIS 313-8519]	IRIS 313-8519	IRGC 125995	subtrop
SUP BLUE ROSE::IRGC 1739-1::[IRIS 313-8778]	IRIS 313-8778	IRGC 126124	trop
JANA (NAM)::IRGC 64897-1::[IRIS 313-8815]	IRIS 313-8815	IRGC 125780	subtrop
KAMNAM::IRGC 64902-1::[IRIS 313-8857]	IRIS 313-8857	IRGC 125793	subtrop
DELITUS::IRGC 5769-1::[IRIS 313-8876]	IRIS 313-8876	IRGC 125725	trop
SKY BONNET::IRGC 66759-1::[IRIS 313-8976]	IRIS 313-8976	IRGC 125902	trop
KORR::IRGC 30751-1::[IRIS 313-9297]	IRIS 313-9297	IRGC 126155	trop
IMPROVED BLUE ROSE::IRGC 5022-1::[IRIS 313-9366]	IRIS 313-9366	IRGC 125771	japx
PULUTAN::IRGC 71596-1::[IRIS 313-9375]	IRIS 313-9375	IRGC 125877	trop
KINANDANG BUSIKSIK::IRGC 74607-1::[IRIS 313-9389]	IRIS 313-9389	IRGC 126982	trop
INGSA BELANAK::IRGC 43402-1::[IRIS 313-9405]	IRIS 313-9405	IRGC 126059	trop
B 505 A 1-28-7-1-2::IRGC 6741-1::[IRIS 313-9452]	IRIS 313-9452	IRGC 125661	trop
DAGPA BARA::IRGC 64887-1::[IRIS 313-9529]	IRIS 313-9529	IRGC 125720	subtrop
TEXAS PATNA 49::IRGC 6077-1::[IRIS 313-9539]	IRIS 313-9539	IRGC 125920	temp
VARY MALADY::IRGC 69911-1::[IRIS 313-9745]	IRIS 313-9745	IRGC 127069	trop
RIKUTO TAUKI MOCHI 27::IRGC 5726-1::[IRIS 313-9789]	IRIS 313-9789	IRGC 125885	trop
KAHEI::IRGC 7691-1::[IRIS 313-9800]	IRIS 313-9800	IRGC 126981	trop
BIKYAT::IRGC 26276-1::[IRIS 313-9897]	IRIS 313-9897	IRGC 125682	trop
FORTUNA INIA::IRGC 55865-1::[IRIS 313-9980]	IRIS 313-9980	IRGC 125741	japx
ESTRELA A::IRGC 72918-1::[IRIS 313-10061]	IRIS 313-10061	IRGC 125733	japx
JAERAERYUKDO::IRGC 73053-1::[IRIS 313-10065]	IRIS 313-10065	IRGC 127055	trop
JEONBUKGUNGWEONNA::IRGC 73055-1::[IRIS 313-10067]	IRIS 313-10067	IRGC 125783	trop
CHIYODA WASE::IRGC 74467-1::[IRIS 313-10071]	IRIS 313-10071	IRGC 125705	trop
OWARI MOCHI::IRGC 74513-1::[IRIS 313-10073]	IRIS 313-10073	IRGC 125864	trop
RIKU AIKOKU::IRGC 74514-1::[IRIS 313-10074]	IRIS 313-10074	IRGC 125884	trop
SANGOKU::IRGC 74518-1::[IRIS 313-10075]	IRIS 313-10075	IRGC 125895	trop
SHINA MOCHI::IRGC 74523-1::[IRIS 313-10076]	IRIS 313-10076	IRGC 125900	trop
YOSHINO MOCHI::IRGC 74550-1::[IRIS 313-10078]	IRIS 313-10078	IRGC 125947	trop
DANGO MOCHI::IRGC 74551-1::[IRIS 313-10079]	IRIS 313-10079	IRGC 125722	trop
HIRAKAWA OKUTE::IRGC 74554-1::[IRIS 313-10080]	IRIS 313-10080	IRGC 125762	trop
KYUUSHUU::IRGC 74558-1::[IRIS 313-10082]	IRIS 313-10082	IRGC 125816	trop
GAWICHAL::IRGC 77653-1::[IRIS 313-10094]	IRIS 313-10094	IRGC 125750	trop
JOKJEBICHAL::IRGC 77663-1::[IRIS 313-10096]	IRIS 313-10096	IRGC 125787	japx
GALSAEGSSAL SHAREI::IRGC 82881-1::[IRIS 313-10124]	IRIS 313-10124		temp
NAM ROO::IRGC 66996-1::[IRIS 313-10176]	IRIS 313-10176	IRGC 125848	subtrop
HAN NUO::IRGC 82350-1::[IRIS 313-10228]	IRIS 313-10228	IRGC 125758	temp
PURAK SIRIBA::IRGC 71598-1::[IRIS 313-8381]	IRIS 313-8381	IRGC 126308	trop
PIKTO MAMAS::IRGC 18487-1::[IRIS 313-8436]	IRIS 313-8436	IRGC 126307	trop
YAHNG LEU::IRGC 78279-1::[IRIS 313-8565]	IRIS 313-8565	IRGC 126316	subtrop
ONOY::IRGC 55418-1::[IRIS 313-8572]	IRIS 313-8572	IRGC 126037	trop
BUE GA WA::IRGC 60824-1::[IRIS 313-8599]	IRIS 313-8599	IRGC 127041	subtrop
PRELUDE::IRGC 1790-1::[IRIS 313-8627]	IRIS 313-8627	IRGC 126260	trop
NEP HOA VANG::[IRIS 313-8690]	IRIS 313-8690	IRGC 117537	japx
TRES MESES::IRGC 6464-1::[IRIS 313-8694]	IRIS 313-8694	IRGC 126010	trop
SAHULO FACHE SOYO::IRGC 66630-1::[IRIS 313-9470]	IRIS 313-9470	IRGC 126310	trop
PAMPANGON (H)::IRGC 60392-1::[IRIS 313-9568]	IRIS 313-9568	IRGC 126346	trop
MANONGAZATO::IRGC 77876-1::[IRIS 313-10099]	IRIS 313-10099	IRGC 126303	trop
BOCAO::IRGC 50384-1::[IRIS 313-8431]	IRIS 313-8431	IRGC 127071	trop
BALINGMI::IRGC 62156-1::[IRIS 313-8637]	IRIS 313-8637	IRGC 126179	subtrop
S 102/2::GERVEX 1251-C1::[IRIS 313-8134]	IRIS 313-8134	IRGC 121816	temp
GIOVANNI MARCHETTI::GERVEX 62-C1::[IRIS 313-8026]	IRIS 313-8026	IRGC 122056	temp
FAISCA::GERVEX 900-C1::[IRIS 313-8114]	IRIS 313-8114	IRGC 122045	temp
LUXOR::GERVEX 1662-C1::[IRIS 313-8195]	IRIS 313-8195	IRGC 122153	japx
MELAS::GERVEX 1684-C1::[IRIS 313-8214]	IRIS 313-8214	IRGC 122167	japx
ITALPATNA 48::GERVEX 60-C1::[IRIS 313-8025]	IRIS 313-8025	IRGC 122121	temp
ULLAL::GERVEX 556-C1::[IRIS 313-8097]	IRIS 313-8097	IRGC 122271	temp
IBO 400::GERVEX 943-C1::[IRIS 313-8118]	IRIS 313-8118	IRGC 122085	temp
SUPER::GERVEX 1304-C1::[IRIS 313-8145]	IRIS 313-8145	IRGC 122257	temp
